Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,-33.165547621585100,20.0,,0,-3.67,0;16;17,
1,-9.165547621585130,10.0,roller_no_ydisp,0,-2.24,3;28,
2,-39.16554762158520,13.749999999999900,,0,0,4;23;24,
3,-39.16554762158520,17.500000000000000,,0,-3.43,4;6;11;15;16,
4,-21.165547621585100,12.499999999999900,,0,0,5;10;18;26;27,
5,-21.165547621585100,15.000000000000000,,0,-3.43,1;2;5,
6,-33.16554762158510,14.999999999999900,,0,0,6;7;17;24;25,
7,-27.165547621585100,17.500000000000000,,0,-3.43,0;1;7;9;18,
8,-45.165547621585200,12.499999999999900,,0,0,8;11;19;22;23,
9,-45.165547621585200,15.000000000000000,,0,-3.43,8;14;15,
10,-27.165547621585100,13.749999999999900,,0,0,9;25;26,
11,-15.165547621585000,12.499999999999900,,0,-3.43,2;3;10;12,
12,-15.165547621585000,11.250000000000000,,0,0,12;27;28,
13,-57.165547621585100,10.0,pin,0,-2.24,13;21,
14,-51.16554762158520,12.499999999999900,,0,-3.43,13;14;19;20,
15,-51.16554762158530,11.250000000000000,,0,0,20;21;22,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,7,W Shapes:W12X19,Steel ASTM A992,,,
1,7,5,W Shapes:W12X19,Steel ASTM A992,,,
2,5,11,W Shapes:W12X19,Steel ASTM A992,,,
3,11,1,W Shapes:W12X19,Steel ASTM A992,,,
4,2,3,W Shapes:W12X19,Steel ASTM A992,,,
5,4,5,W Shapes:W12X19,Steel ASTM A992,,,
6,3,6,W Shapes:W12X19,Steel ASTM A992,,,
7,6,7,W Shapes:W12X19,Steel ASTM A992,,,
8,8,9,W Shapes:W12X19,Steel ASTM A992,,,
9,10,7,W Shapes:W12X19,Steel ASTM A992,,,
10,4,11,W Shapes:W12X19,Steel ASTM A992,,,
11,8,3,W Shapes:W12X19,Steel ASTM A992,,,
12,12,11,W Shapes:W12X19,Steel ASTM A992,,,
13,13,14,W Shapes:W12X19,Steel ASTM A992,,,
14,14,9,W Shapes:W12X19,Steel ASTM A992,,,
15,9,3,W Shapes:W12X19,Steel ASTM A992,,,
16,3,0,W Shapes:W12X19,Steel ASTM A992,,,
17,6,0,W Shapes:W12X19,Steel ASTM A992,,,
18,7,4,W Shapes:W12X19,Steel ASTM A992,,,
19,14,8,W Shapes:W12X19,Steel ASTM A992,,,
20,15,14,W Shapes:W12X19,Steel ASTM A992,,,
21,13,15,W Shapes:W12X19,Steel ASTM A992,,,
22,15,8,W Shapes:W12X19,Steel ASTM A992,,,
23,8,2,W Shapes:W12X19,Steel ASTM A992,,,
24,2,6,W Shapes:W12X19,Steel ASTM A992,,,
25,6,10,W Shapes:W12X19,Steel ASTM A992,,,
26,10,4,W Shapes:W12X19,Steel ASTM A992,,,
27,4,12,W Shapes:W12X19,Steel ASTM A992,,,
28,12,1,W Shapes:W12X19,Steel ASTM A992,,,
